"Room","Object","ObjPos_X","ObjPos_Y","ObjPos_Z","SubjectNo"
"Library","Laptop",-4.651101,0.3,8.900101,"P39"
"LivingRoom","Recorder",5.377343,0.3,12.16971,"P39"
"LivingRoom","Microphone",-6.082298,0.3,15.82163,"P39"
"LivingRoom","ShowerHead",0.09536006,0.3,15.69738,"P39"
"LivingRoom","FireExtinguisher",-6.401917,0.3,3.31092,"P39"
"LivingRoom","NailScissors",3.698883,0.3,6.192044,"P39"
"LivingRoom","RockingHorse",-3.190008,0.3,11.14668,"P39"
"StorageRoom","WineBottle",-0.1465349,2,16.24015,"P39"
"StorageRoom","Chaynik",2.919956,0.3,6.92821,"P39"
"StorageRoom","Toothpaste",-3.474702,0.3,11.0062,"P39"
"StorageRoom","StrawberryDonut",5.98122,0.3,13.29506,"P39"
"StorageRoom","MobilePhone",-4.768563,4,1.272135,"P39"
"StorageRoom","TennisBall",-3.866723,0.3,4.608151,"P39"
"Bedroom","BaseballBat",2.745779,3,14.40252,"P40"
"Bedroom","RugbyBall",7.31677,0.3,9.178839,"P40"
"Bedroom","SaltSub",5.272769,0.3,12.56098,"P40"
"Bedroom","HandDrill",-6.451814,0.3,15.28862,"P40"
"Bedroom","Paprika",-6.458159,0.3,9.295757,"P40"
"Bedroom","Padella",1.856691,4,2.397112,"P40"
"Classroom","OfficeBin",5.551097,0.3,11.99356,"P40"
"Classroom","Calculator",-6.162223,0.3,1.653565,"P40"
"Classroom","Pineapple",5.291232,4,7.925809,"P40"
"Classroom","Grape",-4.373597,0.3,6.45933,"P40"
"Classroom","Kettle",-2.805628,0.3,14.06001,"P40"
"Classroom","Cabbaage",6.290281,0.3,6.963861,"P40"
"Gym","Mushroom",-6.192279,0.3,15.77536,"P40"
"Gym","MokeExpress",-6.893198,0.3,3.036058,"P40"
"Gym","EggBeater",6.667512,0.3,13.46059,"P40"
"Gym","Muffin",-4.940924,0.3,8.27822,"P40"
"Gym","MechanicalGloves",7.163935,0.3,8.887964,"P40"
"Gym","Spoons",-1.78836,0.3,14.11523,"P40"
"Library","Apple",-0.9734071,0.3,13.24211,"P40"
"Library","HTCViveController",-2.22707,0.3,10.44959,"P40"
"Library","JBLSpeaker",-4.772186,0.3,8.201289,"P40"
"Library","Stapler",4.966928,0.3,9.844108,"P40"
"Library","MilkCarton",-5.901506,0.3,2.475883,"P40"
"Library","PiggyBank",-6.362181,0.3,16.27868,"P40"
"LivingRoom","Toaster",-7.281133,0.3,14.22602,"P40"
"LivingRoom","CleaningBucket",3.651567,0.3,8.795088,"P40"
"LivingRoom","Typewriter",-3.101135,0.3,11.3796,"P40"
"LivingRoom","Squeezer",5.034889,0.3,12.60891,"P40"
